type,pos,number,fact_fragment,was_submitted
year,NNP,1017,Kiev burns.,False
year,DT,1017,The construction of Saint Sophia Cathedral in Kiev is started (approximate date).,False
year,NNP,1017,Hamza ibn-'Ali ibn-Ahmad publicly declares the founding of the Druze religion.,False
year,NNP,1017,Sunni revolt of Kairouan against the Shi'ite Zirid dynasty.,False
year,DT,1010,The city of Yaroslavl is said to have been founded.,False
year,NNP,1010,"Hisham II the Nephast is restored as Umayyad caliph of Córdoba, succeeding Muhammad II al-Mahdi.",False
year,NNP,1010,"Allied to Muslim rebels, the count of Barcelona sacks the Cordoba.",False
year,DT,1010,The Lý Dynasty is established in Vietnam (or 1009) and moves the capital to Hanoi.,False
year,DT,1010,"The Goryeo king is unseated in a revolt, resulting in an invasion by the Liao Dynasty and the burning of the Korean capital Gaegyeong in the Second Goryeo-Khitan War.",False
year,NNP,1010,"Song Zhun of Song Dynasty China completes the work of the earlier geographer Lu Duosun, an enormous atlas of China that is written and illustrated in 1,556 chapters, showing maps of each region, city, town, and village.",False
year,DT,1010,"The construction of Brihadeeswarar temple, Thanjavur, Tamil Nadu, India, ends.",False
year,NN,1010,"Rajaraja I and His Teacher, detail of a wall painting in the Brihadeeswarar temple, Thanjavur, Tamil Nadu, India, is made.",False
year,NNP,1010,Lady Murasaki writes The Tale of Genji in Japanese (approximate date).,False
year,NNP,1010,Beowulf is written anonymously (approximate date).,False
year,NN,1010,Eilmer of Malmesbury attempts flight in a glider of his own construction.,False
year,DT,1011,The Byzantine army under the catapan Basil Mesardonites takes Bari from the rebellious Lombard lord Melus.,False
year,NNP,1011,"Byrhtferth of Ramsey writes his Manual, on the subject of time.",False
year,DT,1011,"The German king Henry II enfeoffes Adalbero, Duke of Carinthia with the Carinthian duchy, including the rule over the March of Verona (or in 1012).",False
year,NNP,1011,Ermengol II succeeds Ermengol I as Count of Urgell.,False
year,NNP,1011,"Albert II, Count of Namur succeeds Albert I.",False
year,NNP,1011,"Ibn al-Haytham (Alhacen), a famous Persian scientist working in Egypt, feigns madness in fear of angering Al-Hakim, and is kept under house arrest until 1021.",False
year,DT,1011,The Chinese Guangyun rime dictionary is compiled under Emperor Zhenzong of Song.,False
year,NNP,1011,Emperor Sanjō ascends to the throne of Japan.,False
year,NNP,1012,"Mael Morda starts a rebellion against Brian Boru in Ireland, which eventually ends in 1014 at the Battle of Clontarf.",False
year,NNP,1012,"Suleiman II is restored as Umayyad caliph of Cordoba, succeeding Hisham II.",False
year,NNP,1012,Oldrich succeeds Jaromir as duke of Bohemia.,False
year,NNP,1012,Fatimid Caliph al-Hakim orders the destruction of all Jewish and Christian places of worship.,False
year,NNP,1012,Archbishop Alphege of Canterbury is murdered by his Danish captors.,False
year,NNP,1012,Pope Benedict VIII succeeds Pope Sergius IV as the 143rd pope.,False
year,NNP,1012,Gregory VI becomes antipope.,False
year,DT,1013,The Poles withdraw from Pomerania (approximate date).,False
year,DT,1013,The Jews are expelled from the caliphate of Córdoba.,False
year,DT,1013,"The largest of the Four Great Books of Song, the Song Dynasty Chinese encyclopedia Prime Tortoise of the Record Bureau (which had been compiled since 1005), is completed in 1,000 volumes of 9.4 million written Chinese characters.",False
year,NNP,1013,Beauvais changes from a county to a bishopric (approximate date).,False
year,DT,1013,The Al-Hakim Mosque is completed in Cairo.,False
year,RB,1009,First known mention of the name of Lithuania in connection with the murder of Saint Bruno of Querfurt.,False
year,NNP,1009,Mainz Cathedral suffers extensive damage from a fire on the day of its inauguration.,False
year,NNP,1009,Suleiman II succeeds Mohammed II as Caliph of Córdoba.,False
year,DT,1009,The Vikings repeatedly attack England.,False
year,DT,1009,"The Lý Dynasty, Vietnam's first independent dynasty, is proclaimed.",False
year,DT,1009,The provinces of Goryeo (modern-day Korea) are redistributed.,False
year,DT,1009,The Church of the Holy Sepulchre is destroyed by Caliph al-Hakim bi-Amr Allah.,False
year,NNP,1009,Pope Sergius IV succeeds Pope John XVIII as the 142nd pope.,False
year,NNP,1008,Oldest known mention of the city of Gundelfingen.,False
year,NNP,1008,"Olav Haraldsson, the future king of Norway, lands on Saaremaa Island in Estonia, wins a battle there and forces the inhabitants to pay tribute.",False
year,NNP,1008,Georgia is unified under King Bagrat III.,False
year,NNP,1008,Mohammed II succeeds Hisham II as Caliph of Cordoba.,False
year,DT,1008,"The Egyptian Fatimid Empire under Al-Hakim bi-Amr Allah sends the sea captain Domiyat on a tributary mission to Emperor Zhenzong of the Song Dynasty, in order to reestablish trade relations between Egypt and China.",False
year,NNP,1008,Bruno of Querfurt and others try to establish a mission among the Prussians.,False
year,NNP,1007,"Aethelred buys two years of peace with the Danes for 36,000 pounds of silver.",False
year,NNP,1007,"Songjiang County, the later city of Shanghai, is founded (approximate date).",False
year,DT,1007,The vizier and his army invaded Babylon Persia.,False
year,NNP,1007,Henry II of Germany founds the Diocese of Bamberg.,False
year,DT,1006,"A major eruption of Mount Merapi volcano covers all of central Java with volcanic ash, caused devastation throughout central Java, and destroyed a Hindu kingdom on the island of Java.",False
year,NNP,1006,Holmgang (dueling) is declared illegal in Iceland.,False
year,NNP,1006,Aelfheah (St. Alphege) goes to Pope John XVIII at Rome for his pallium and becomes Archbishop of Canterbury.,False
year,DT,1006,"The brightest supernova ever recorded, SN 1006, occurs in the constellation of Lupus.",False
year,NNP,1005,"Malcolm II succeeds Cináed III as king of Scotland, killing him and his son Giric II of Scotland in the battle of Monzievard.",False
year,NNP,1005,"Aeddan ap Blegywryd, prince of Gwynedd succeeds Cynan ap Hywel.",False
year,NNP,1005,Pomerania revolts against the church.,False
year,NNP,1005,Schaffhausen starts minting its own coins.,False
year,NNP,1005,Pisan offensive against the Muslim strongholds on the coast of Calabria.,False
year,DT,1005,The Shanyuan Treaty is negotiated between the Liao Dynasty and the Song Dynasty.,False
year,NNP,1005,"Lê Trung Tông succeeds Lê Hoàn as the emperor of Vietnam, preceding anarchy and 8 months succession war with Long Ngân and other princes.",False
year,NN,1005,Defeat of Long Ngân and his death in Thạch Hà by hands of natives.,False
year,NNP,1005,"Lê Ngoạ Triều succeeds Lê Trung Tông, killing him after just three days of reign, beginning tyrannical executions.",False
year,NNP,1005,Shūi Wakashū is compiled (earliest possible date).,False
year,NNP,1004,Plague and famine episode in North Africa.,False
year,DT,1004,The Samanid dynasty ends in Bokhara.,False
year,DT,1004,The Liao Dynasty launches a major offensive against the Song Dynasty.,False
year,NNP,1004,Henry II is crowned Holy Roman Emperor at Pavia.,False
year,NNP,1004,Henry II launches war against Boleslav of Poland.,False
year,NNP,1004,Boleslaus I of Poland loses Bohemia after having become duke the previous year.,False
year,NNP,1004,"Sancho III becomes king of Navarre, Aragon and Castille.",False
year,NNP,1004,Sweyn I of Denmark destroys Norwich.,False
year,NNP,1004,Aberdeen becomes a bishopric.,False
year,DT,1004,The troops of the vizir Al-Mansur sack the Catalan city of Manresa.,False
year,NNP,1004,Pope John XVIII (1004–1009).,False
year,NNP,1003,"Werner, Margrave of the Nordmark succeeds Lothair.",False
year,NNP,1003,Boleslaus III of Bohemia is restored to authority with armed support from Bolesław I the Brave of Poland.,False
year,NNP,1003,"Herman III, Duke of Swabia succeeds Herman II.",False
year,NNP,1003,Vladivoj of Bohemia succeeds Boleslaus III.,False
year,NNP,1003,Boleslaus IV succeeds Vladivoj of Bohemia.,False
year,NNP,1003,Wilfred succeeds Abbot Oliva as count of Berga.,False
year,NNP,1003,Sweyn I of Denmark begins his first invasion of England.,False
year,NNP,1003,Humbert I becomes the first count of Savoy.,False
year,NNP,1003,Robert II of France marries Constance of Arles.,False
year,NNP,1003,Boleslaus I of Poland becomes duke of Bohemia and Moravia.,False
year,NNP,1003,Stephen I of Hungary invades Transylvania and organises the Diocese of Transylvania (possible date).,False
year,NNP,1003,Deutz Abbey is founded at Deutz by Heribert of Cologne.,False
year,DT,1003,The troops of the Caliphate of Cordoba defeats the northern Christian armies at the battle of Albesa.,False
year,NNP,1003,Zacharias succeeds Philotheos as Patriarch of Alexandria.,False
year,DT,1003,The Zubu khan surrenders to the Liao Dynasty.,False
year,DT,1003,"The construction of Brihadeeswarar temple, Thanjavur, Tamil Nadu, India, starts.",False
year,NNP,1003,Pope John XVII succeeds Pope Silvester II as the 140th pope.,False
year,NNP,1003,Pope John XVIII succeeds Pope John XVII as the 141st pope.,False
year,NNP,1002,Henry II succeeds Otto III as king of Germany.,False
year,NNP,1002,"Frederick is sent as an imperial legate to the Synod of Pöhlde to mediate between the claims of Bernard, Bishop of Hildesheim, and Willigis, Archbishop of Mainz, concerning the control of the abbey of Gandersheim.",False
year,NNP,1002,Frederick is elected Archbishop of Ravenna.,False
year,NNP,1002,"Vladivoj succeeds Boleslaus III, Duke of Bohemia.",False
year,NNP,1002,Otto of Worms withdraws his nomination for the title of Holy Roman Emperor and receives Duchy of Carinthia in return.,False
year,NNP,1002,"John IV of Naples is probably released from German captivity by Henry II, Holy Roman Emperor.",False
year,NNP,1002,Danegeld is paid by Æthelred the Unready to prevent Viking raids against England.,False
year,NNP,1002,"Abd al-Malik succeeds Al-Mansur, chief minister of the Umayyad Caliphate of Córdoba, Spain.",False
year,NNP,1002,Khalaf I of Sistan surrenders to Ghaznavids in Taq.,False
year,NNP,1002,Rafael of Makuria constructs a red brick building in Old Dongola.,False
year,NNP,1001,Emperor Otto III confirms possessions of Ulric Manfred II of Turin and grants him privileges.,False
year,NNP,1001,Sergius II becomes Patriarch of Constantinople.,False
year,NNP,1001,Byzantine Emperor Basil II attempts to reconquer Bulgaria.,False
year,NNP,1001,"Robert II, King of France marries for the third time, with Constance Taillefer d'Arles.",False
year,NNP,1001,"Otto III, Holy Roman Emperor has Charlemagne's vault opened (see Aachen Cathedral).",False
year,NNP,1001,Boleslaw I of Poland begins ruling parts of Slovakia.,False
year,NNP,1001,Vseslav Izyaslavich of Polotsk begins ruling Polotsk.,False
year,NNP,1001,"Werner I, Bishop of Strasbourg begins ruling Archbishopric of Strasbourg.",False
year,RB,1001,"First reference to Khotyn, Ukrainian town and to Nyalka, Hungarian village, as to Chimudi.",False
year,NNP,1001,"Baitoushan volcano on what would be the Chinese-Korean border, erupts with a force of 6.5, the fourth largest Holocene blast (approximate date).",False
year,NNP,1001,"Mahmud of Ghazni, Muslim leader of Ghazni, begins a series of raids into Northern India.",False
year,NNP,1001,Jayapala suffers defeat from Ghaznavid Empire near Peshawar.,False
year,NNP,1001,Khmer King Jayavarman V is succeeded by Udayadityavarman I and/or Suryavarman I.,False
year,DT,1001,"The Buddhist ruler of Butuan in the Philippines (P’u-tuan in the Sung Dynasty records), Sari Bata Shaja, makes the first tributary mission to China.",False
year,NNP,1001,"Oqropiri (Ioane I), Svimeon III and Melkisedek I are Catholicoi of Iberia within one year.",False
year,NNP,1001,Khazrun ben Falful from Maghrawa family Banu Khazrun begins ruling Tripoli.,False
year,DT,1001,A tomb of saint Ivo (possibly) is uncovered in Huntingdonshire.,False
year,DT,1038,"The name of Versailles, then a small village, appears for the first time in a Medieval charter.",False
year,DT,1038,The Western Xia declare their independence from Liao China.,False
year,NNP,1039,Henry III becomes King of Germany.,False
year,DT,1039,The Abbey of Bec is founded.,False
year,NNP,1039,Bretislav I of Bohemia invades Poland.,False
year,NNP,1032,"Benedict IX succeeds John XIX, as the 145th pope.",False
year,DT,1032,The first mention of the city of Kursk.,False
year,NNP,1033,"Conrad II, Holy Roman Emperor, becomes King of Burgundy.",False
year,NNP,1033,"Panic spreads throughout Europe that the end of the universe may be near, on the supposed 1,000th anniversary of the crucifixion of Christ, due to some unusually harsh spring weather.",False
year,DT,1030,The cities of Kaunas in Lithuania and Tartu in Estonia are founded.,False
year,JJS,1030,"Earliest mention of Thalwil, Switzerland.",False
year,NNP,1030,Henry I of France revolts against his father Robert.,False
year,DT,1030,"The Song Dynasty Chinese historian and scholar Ouyang Xiu obtains his jinshi degree at the age of only 22 by passing the highest level examinations in the country (his third attempt), leading him into a distinguished path as a scholar-official.",False
year,NNP,1030,Byzantine Emperor Romanus III invades Syria.,False
year,NNP,1030,Masud seizes the throne of the Ghaznavid Empire after the death of his father Mahmud.,False
year,DT,1031,The Moorish Caliphate of Córdoba collapses.,False
year,NNP,1031,Byzantine general George Maniaces captures Edessa.,False
year,NNP,1031,Henry I becomes King of France.,False
year,NNP,1031,Bezprym seizes the throne of Poland from Mieszko II.,False
year,DT,1036,A Zirid attack in Sicily takes Palermo from the Normans but fails to fully reconquer the island.,False
year,NNP,1036,Edward the Confessor's younger brother Alfred Aetheling is blinded and murdered in an apparent attempt to seize the throne of England from Harold I.,False
year,NNP,1036,Emperor Go-Suzaku ascends the throne of Japan.,False
year,JJ,1036,First appearance of the Flower Sermon in Buddhist literature.,False
year,NNP,1037,Ferdinand I becomes the king of Castile and Leon.,False
year,NNP,1037,Harold I seizes the crown of England from his half-brother Harthacanute.,False
year,NNP,1037,George Maniaces begins a campaign against the Arabs in Sicily.,False
year,DT,1037,The Song Dynasty Chinese rime dictionary of the Jiyun is published.,False
year,NNP,1037,Seljuq dynasty starts.,False
year,DT,1034,"The heir to the displaced Balhae kings revolts against the Liao Dynasty, and flees to Goryeo when defeated.",False
year,NNP,1035,Pisa launches a naval assault against the Saracen pirates strongholds in the Lipari Islands.,False
year,NNP,1035,Harald I becomes king of England.,False
year,NNP,1035,Harthacanute becomes king of Denmark.,False
year,NNP,1035,Magnus I becomes king of Norway.,False
year,NNP,1035,William II (the future William I of England) becomes duke of Normandy.,False
year,NNP,1035,Koper is awarded town rights.,False
year,DT,1035,The first Freimarkt festival is held in Bremen.,False
year,NN,1025,Boleslaw I Chrobry is crowned as the first king of Poland.,False
year,NNP,1025,"Srivijaya, a partly Buddhist kingdom based in Sumatra, is attacked by the Chola Empire of southern India in a dispute over trading rights in South-east Asia.",False
year,NNP,1025,Constantine VIII succeeds his brother Basil II as Byzantine Emperor.,False
year,DT,1024,The Salian Dynasty of the Holy Roman Empire is founded by Conrad II.,False
year,NNP,1024,Pope John XIX succeeds Pope Benedict VIII (his brother) as the 144th pope.,False
year,DT,1024,"The world's first paper-printed money, which later greatly benefits the economy of the Song Dynasty, originates in the Sichuan province of China.",False
year,NNP,1024,"Emperor Mahmud of Ghazni sacks the Hindu religious center of Somnath, slaughtering over 50,000 people and carrying off vast amounts of treasure.",False
year,NNP,1027,Pope John XIX crowns Conrad II Holy Roman Emperor.,False
year,NNP,1027,Henri I is crowned king of France at Reims Cathedral.,False
year,NNP,1027,Aldred becomes abbot of Tavistock.,False
year,DT,1027,The Tibetan calendar begins.,False
year,NNP,1027,Civil war begins in Japan.,False
year,NNP,1027,Bagrat IV becomes king of Georgia.,False
year,NNP,1026,Archbishop Ariberto crowns Conrad II King of Italy in Milan.,False
year,NNP,1026,Pietro Barbolano becomes Doge of Venice.,False
year,NNP,1026,"Henry VI becomes king of Bavaria (later Henry III, Holy Roman Emperor).",False
year,DT,1026,The Battle of the Helgeå is fought in Scandinavia.,False
year,DT,1026,"A Zubu revolt against the Liao Dynasty is suppressed, with the Zubu forced to pay an annual tribute.",False
year,DT,1021,The Moorish kingdom of Valencia becomes independent from the Ummayyad caliphate.,False
year,NNP,1021,"Mahmud appoints Ayaz to the throne, making Lahore the capital of the Ghaznavid Empire.",False
year,DT,1021,"A Khitan princess is sent to marry into the Goryeo royal family, securing ties between the Koreans and the Liao Dynasty.",False
year,DT,1021,"The Song Dynasty Chinese capital city of Kaifeng has some half a million residents by this year; including all those present in the nine designated suburbs, the population is over a million people.",False
year,DT,1021,The Chola Empire invades Bengal.,False
year,NNP,1020,Goryeo and the Liao Dynasty exchange embassies following a seven-year territorial dispute.,False
year,DT,1020,The massive Kandariya Mahadeva Hindu Temple is completed in the Chandela capital of Khajuraho.,False
year,DT,1020,The city of Saint-Germain-en-Laye is founded.,False
year,NNP,1020,Henry II of Germany conducts his third Italian military campaign .,False
year,VB,1020,Canute the Great codifies the laws of England.,False
year,DT,1023,"The Judge-Governor of Seville takes advantage of the disintegration of the caliphate of Córdoba, and seizes power as Abbad I, thus founding the Abbadid dynasty.",False
year,NNP,1023,Abd ar-Rahman V is proclaimed Caliph at Córdoba.,False
year,DT,1023,The Ghaznavid Empire occupies Transoxiana.,False
year,IN,1022,"Upon the death of Olof Skötkonung, he is succeeded by his son Anund Jakob as king of Sweden.",False
year,DT,1022,"The Song Dynasty Chinese military has one million registered soldiers, an increase since the turn of the 11th century when the Song military only had nine hundred thousand soldiers.",False
year,NNP,1022,"Aethelnoth, Archbishop of Canterbury, is received at Rome.",False
year,DT,1022,The Synod of Pavia issues decrees against non-celibate clergy and against simony.,False
year,NNP,1022,"Robert II the Pious burns some canons of St. Croix in Orléans, for holding that the world is inherently evil.",False
year,NNP,1028,"Henry III, son of Conrad II, is elected king of the Germans.",False
year,NNP,1028,Cnut becomes King of Norway.,False
year,NNP,1028,Romanus Argyrus becomes Eastern Roman Emperor as Romanus III.,False
year,DT,1100,The Ancient Pueblo Peoples culture rises (approximate date).,False
year,NNP,1100,Oraibi becomes and remains the first and oldest populated settlement in the USA and what is now Arizona.,False
year,DT,1100,"The city of Cusco, Peru is founded.",False
year,DT,1100,The Liao Dynasty crushes the Zubu and takes their khan prisoner.,False
year,NNP,1100,Song Dynasty China's population reaches roughly 100 million.,False
year,NNP,1100,Emperor Huizong of Song starts to rule in China.,False
year,DT,1100,"The Saljukid ruler Mahmud I is expelled from Bagdad by his brother, Barkiyaruq but Mahmud I manages to retake the city during his Spring offensive.",False
year,NNP,1100,Raymond de Saint-Gilles sails to Byzantium to obtain the support of the emperor Alexios in his attempt to seize Tripoli.,False
year,DT,1100,"A Genoese fleets leaves Italy to support the Crusaders' effort to conquer the coastal cities, the ships reach Latakia on Septsember 25.",False
year,NNP,1100,"Bohemond I of Antioch is captured by the Danishmends at the Battle of Melitene, leaving Tancred as regent of the Principality of Antioch for two years.",False
year,NNP,1100,"Genoa, Venice and Pisa gain trading privileges from the Crusader states in return for their service during the conquest of the coastal cities.",False
year,NNP,1100,Baldwin I becomes King of Jerusalem in replacement of his late brother Godefroy de Bouillon.,False
year,DT,1100,The Almoravid army defeats the Castellan troops at the battle of Malagón (near today's Ciudad Real).,False
year,NNP,1100,Peter I of Aragon conquers Barbastro (North) from the hands of the Almoravids.,False
year,NNP,1100,Philip I of France associate his son to the government of the realm.,False
year,NNP,1100,Philip I of France conquers the Vexin area and adds the city of Bourges and the province of Berry to his estate.,False
year,NNP,1100,Dagobert of Pisa becomes Latin Patriarch of Jerusalem.,False
year,NNP,1100,Frederick I of Schwarzburg becomes archbishop of Cologne and begins the construction of the castle of Volmarstein.,False
year,NNP,1050,Leofric becomes Bishop of Exeter.,False
year,NNP,1050,Hedeby is sacked by King Harald Hardråde of Norway during the course of a conflict with Sweyn II of Denmark.,False
year,IN,1050,"Upon the death of Anund Jacob, he is succeeded by his brother Emund the Old as king of Sweden.",False
year,DT,1050,"The brewery of Weltenburg Abbey is first mentioned, thus making it one of the oldest still operating breweries in the world.",False
year,NNP,1051,"Godwin, Earl of Wessex, is exiled from England by King Edward the Confessor for refusing to take action against the townspeople of Dover.",False
year,NNP,1051,Henry I of France marries Anne of Kiev at the cathedral of Reims.,False
year,NNP,1051,William of Normandy fights for his life and crown in Normandy.,False
year,NN,1052,Defeat of the Zirid dynasty against the Hilalian invaders at the battle of the jabal Haydaran.,False
year,NNP,1052,"Godwin, Earl of Wessex returns to England from exile.",False
year,DT,1052,"The Seljuk Turks conquer Isfahan, Persia.",False
year,NNP,1053,"Jōchō makes Amida Buddha, Byodo-in.",False
year,DT,1054,"The SN 1054 supernova is recorded by the Chinese, Arab and possibly Native Americans near the star ζ Tauri.",False
year,JJ,1054,"Cardinal Humbertus, a representative of Pope Leo IX, and Michael Cerularius, Patriarch of Constantinople, decree each other's excommunication.",False
year,NNP,1054,"Siward, Earl of Northumbria invades Scotland to support Malcolm Canmore against Macbeth, who usurped the Scottish throne from Malcolm's father, King Duncan.",False
year,NNP,1054,"Lý Nhật Tôn, third king of the Lý Dynasty, begins to rule in Vietnam and changes the country's official name to Đại Việt.",False
year,DT,1055,The Almoravids conquer Aoudaghost (present-day Mauritania).,False
year,DT,1055,The Seljuk Turks capture Baghdad; Al-Malik al-Rahim is taken prisoner.,False
year,NNP,1055,Theodora becomes reigning empress of the Byzantine Empire.,False
year,NNP,1055,Ralph the Timid is defeated by the Welsh.,False
year,NNP,1055,Pope Victor II succeeds Pope Leo IX as the 153rd pope.,False
year,DT,1055,"An abbey was set up at Tihany, Hungary by András (Andrew) I.",False
year,NNP,1056,Anselm leaves Italy.,False
year,NNP,1056,"Henry IV, Holy Roman Emperor, becomes King of Germany.",False
year,NNP,1056,"Ottokar, Count of Steyr, becomes Margrave of the Karantanian March, later known as Styria.",False
year,DT,1056,The Pagoda of Fugong Temple of Shanxi in northern China is built during the Liao Dynasty.,False
year,DT,1056,"The Muslims expel 300 Christians from Jerusalem, and European Christians are forbidden to enter the Church of the Holy Sepulcher.",False
year,DT,1057,The Banu Hilal take Kairouan.,False
year,NNP,1057,"William the Conqueror defeats a Franco-Angevin army at the mouth of the Dives River, Normandy.",False
year,NNP,1057,Ferdinand I of Castile takes Lamego and Viseu from Christian lords allied to the Muslim taifas.,False
year,NNP,1057,Pope Stephen IX (sometimes referred to as Stephen X) succeeds Pope Victor II as the 154th pope.,False
year,NNP,1058,"Antipope Benedict X is crowned pope, but later deposed.",False
year,NNP,1058,Pope Nicholas II is elected pope in December and installed in the following year.,False
year,DT,1058,The Battle of Varaville is fought.,False
year,NNP,1058,Boleslaus II takes office as duke of Poland.,False
year,NNP,1058,Aldred becomes the first English bishop to make a pilgrimage to Jerusalem.,False
year,DT,1058,The Almoravids conquer the Berghouata.,False
year,NNP,1059,"Pope Nicholas II succeeds Pope Stephen IX as the 155th Pope, installed in opposition to Antipope Benedict X.",False
year,NNP,1059,Robert Guiscard signs the Treaty of Melfi with Pope Nicholas II.,False
year,NNP,1059,Anselm settles at the Benedictine monastery of Le Bec in Normandy.,False
year,DT,1059,The Lateran Council makes the College of Cardinals the sole voters in the election of popes.,False
year,NNP,1059,"Muhammed ben Da'ud, known as Alp Arslan, becomes second sultan of the Seljuk Turks.",False
year,NNP,1059,Peter Krešimir IV is crowned King of Croatia and Dalmatia.,False
year,NNP,1059,"Isaac I Comnenus resigns as Byzantine Emperor, appointing Constantine Ducas as his successor.",False
year,NNP,1043,Venus occults Jupiter.,False
year,NNP,1043,Edward the Confessor is crowned King of England at Winchester Cathedral.,False
year,NNP,1043,"Henry III, Holy Roman Emperor marries Agnes de Poitou.",False
year,DT,1043,The revolt of George Maniaces against Byzantine Emperor Constantine IX ends when Maniaces is killed in battle near Thessalonica.,False
year,DT,1043,The Ziyarid dynasty of Persia is crushed by the Seljuks.,False
year,DT,1043,"The Norman brothers, William Iron Arm and Drogo de Hauteville, assume power in Apulia.",False
year,DT,1043,"The first king of the Kingdom of Nri, Eze Nri Ìfikuánim is installed in West Africa.",False
year,NN,1042,Emperor Michael V of the Byzantine Empire attempts to remain sole Emperor by sending his adoptive mother and co-ruler Zoe of Byzantium to a monastery.,False
year,NNP,1042,Michael V of the Byzantine Empire is deposed by popular revolt.,False
year,NNP,1042,Edward the Confessor becomes King of England.,False
year,NNP,1042,"George Maniaces, Byzantine general in Sicily, revolts against Constantine IX.",False
year,NNP,1042,"Harald III of Norway, at this time leader of the Varangian Guard in the Byzantine Empire, returns to Norway, possibly because of his involvement in Maniaces' revolt.",False
year,NNP,1042,Magnus I of Norway becomes King of Denmark.,False
year,DT,1042,The Normans in Italy move their capital to Melfi.,False
year,NNP,1042,Abad II succeeds his father to the throne of Sevilla.,False
year,DT,1042,"The Almoravids, led by Abdullah Ibn Yasin, invade Morocco.",False
year,DT,1041,The Zirid dynasty rejects the Shi'ite obedience and the Fatimid domination and recognizes the Abbasids as their overlords.,False
year,NNP,1041,Worcester rebels against the naval taxes of Harthacanute.,False
year,NNP,1041,Edward the Confessor returns from exile to become the heir of Harthacanute.,False
year,DT,1041,"The number of enlisted soldiers in the Song Dynasty Chinese military reaches well over 1,250,000 troops, an increase since 1022 when there were a million soldiers.",False
year,NNP,1040,Harthacanute lands at Sandwich and reclaims the English Throne.,False
year,DT,1040,The oldest brewery still active is founded at Weihenstephan.,False
year,DT,1040,The Shalu Monastery is founded in Tibet.,False
year,NNP,1047,Harald III becomes sole king of Norway.,False
year,NNP,1047,Sweyn II is crowned king of Denmark.,False
year,NNP,1047,Pope Clement II is succeeded by Pope Benedict IX as the 150th pope.,False
year,NNP,1047,Revolt of Leo Tornikios in the Byzantine Empire.,False
year,NNP,1046,Naser Khosrow begins the seven-year Middle Eastern journey which he later describes in his book Safarnameh.,False
year,NNP,1046,"Pope Gregory VI is accused of simony at the Council of Sutri, and abdicates as pope.",False
year,NNP,1046,Pope Clement II succeeds Pope Gregory VI as the 149th pope.,False
year,DT,1046,The first contact occurs between the Byzantine Empire and the Seljuks.,False
year,NNP,1046,Henry III is crowned Holy Roman Emperor by Pope Clement II.,False
year,NNP,1046,"Song Dynasty Chinese judge and magistrate Bao Qingtian writes a memorial to the throne, warning about governmental corruption and a foreseeable bankruptcy of the Chinese iron industry, if increasingly poorer families continued to be listed on the register for iron-smelting households (while more rich households avoid being listed for fear of financial calamity).",False
year,NNP,1045,Emperor Go-Reizei ascends the throne of Japan.,False
year,NNP,1045,Edward the Confessor marries Edith of Wessex and begins construction of Westminster Abbey.,False
year,NNP,1045,"Pope Sylvester III becomes the 146th pope, succeeding former pope Benedict IX, who abdicated the previous year.",False
year,NNP,1045,"Pope Sylvester III is deposed (election deemed invalid); Pope Benedict IX is elected once more, becoming the 147th pope.",False
year,NNP,1045,"Pope Gregory VI becomes the 148th pope, following the deposition of Pope Benedict IX.",False
year,DT,1045,The Lingxiao Pagoda of China is built during the Song Dynasty.,False
year,DT,1045,"The Qingli Reforms, put forth by the Chinese statesmen Ouyang Xiu and Fan Zhongyan in 1043, are halted by their conservative ministerial peers, but would later influence reform efforts under Wang Anshi.",False
year,NNP,1044,Benedict IX abdicates as pope.,False
year,DT,1044,"The Chinese military treatise of the Wujing Zongyao is written and compiled by scholars Zeng Gongliang (曾公亮), Ding Du (丁度), and Yang Weide (楊惟德) during the Song Dynasty.",False
year,DT,1049,A truce is declared between the Byzantine Empire and the Seljuk Turks.,False
year,DT,1049,The Pisans successfully complete the conquest of Sardegna upon the Andalusian occupiers.,False
year,NNP,1049,Pope Leo IX succeeds Pope Damasus II as the 152nd pope.,False
year,DT,1048,The city of Oslo is founded by Harald Hardråde of Norway.,False
year,VBN,1048,Failed Byzantine attempt to reconquer Malta.,False
year,NNP,1048,"Pope Benedict IX is driven from Rome, ending his third and final pontificate.",False
year,NNP,1048,Pope Damasus II succeeds Pope Benedict IX as the 151st pope.,False
year,NNP,939,"Vietnam, under the name Dai Co Viet, gains independence from China.",False
year,IN,939,Edmund I of England succeeds to the throne of England.,False
year,DT,939,The Arabs lose Madrid to the Kingdom of Leon.,False
year,DT,939,"The Major Occultation, or Ghaybat el-Kubra of Muhammad al-Mahdi.",False
year,NNP,939,Pope Stephen VIII succeeds Pope Leo VII as the 127th pope.,False
year,DT,938,The Liao Dynasty takes over Peking; they name Nanjing as their South Palace.,False
year,VBN,933,Failed attempt by the Fatimid dynasty to seize the Maghreb al-Aqsa (nowadays Morocco) from the local rulers allied to the Spain-based Umayyad Caliphate.,False
year,NNP,933,"Cotentin and Jersey are seized by William Longsword, Duke of Normandy.",False
year,NNP,933,Henry the Fowler defeats the Magyars at Riade.,False
year,DT,933,The Kingdom of Lower Burgundy is given to King Rudolph II of Upper Burgundy.,False
year,NNP,933,Shiragi Arabs from Persia settle on the Comoros.,False
year,NNP,932,St. Ursenstift is founded by the Burgundian Queen Bertha in Solothurn.,False
